epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6820653080940247,0.745668888092041,0.7276481986045837,0.6514469981193542
1,0.7972968816757202,0.5367593765258789,0.827502429485321,0.48391032218933105
2,0.8413971066474915,0.43771567940711975,0.8327259421348572,0.4634661078453064
3,0.8665755391120911,0.37346526980400085,0.8520408272743225,0.42532965540885925
4,0.8869248032569885,0.3202574849128723,0.8412293195724487,0.44793006777763367
5,0.9034472107887268,0.27524080872535706,0.8468173146247864,0.45746171474456787
6,0.9189673662185669,0.2297699898481369,0.839893102645874,0.58160400390625
