epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5446621179580688,0.9333512187004089,0.5956025123596191,0.8700600862503052
1,0.6402429938316345,0.795757532119751,0.6829445958137512,0.7345160245895386
2,0.699195146560669,0.7002308368682861,0.7173226475715637,0.670243501663208
3,0.7438724637031555,0.6241577863693237,0.7333576083183289,0.646543025970459
4,0.7774335741996765,0.5617820024490356,0.7662779688835144,0.5868933796882629
5,0.8079878687858582,0.5015121102333069,0.7750242948532104,0.5748386979103088
6,0.827031135559082,0.45632657408714294,0.7994412183761597,0.5469509959220886
7,0.8444950580596924,0.41371041536331177,0.8034499287605286,0.5326253771781921
8,0.8594381213188171,0.37686359882354736,0.8055150508880615,0.5542110204696655
9,0.8749278783798218,0.3405260741710663,0.8086734414100647,0.5389800667762756
10,0.8872589468955994,0.31158366799354553,0.8081875443458557,0.5745172500610352
