epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.7188458442687988,0.6811620593070984,0.8185130953788757,0.5117864012718201
1,0.8398177623748779,0.4447772204875946,0.8304178714752197,0.46940693259239197
2,0.8713439702987671,0.36927199363708496,0.8549562692642212,0.4360369145870209
3,0.8914502859115601,0.31796297430992126,0.8356413841247559,0.4889127314090729
4,0.9065755605697632,0.27089929580688477,0.8335762619972229,0.5022010207176208
5,0.9219741821289062,0.23033779859542847,0.8326044678688049,0.5458337068557739
