epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5772513151168823,0.8988541960716248,0.6064140200614929,0.8614155650138855
1,0.6570387482643127,0.7822107076644897,0.7127065062522888,0.6824160218238831
2,0.7110098600387573,0.6929758787155151,0.7506073713302612,0.620358407497406
3,0.7458466291427612,0.6261375546455383,0.7696793079376221,0.5778170824050903
4,0.7707517147064209,0.5835698843002319,0.7889941930770874,0.5417810082435608
5,0.7922855019569397,0.5436826944351196,0.8011418581008911,0.521845817565918
6,0.8064388632774353,0.5128369331359863,0.8096452951431274,0.5059178471565247
7,0.8178891539573669,0.485686331987381,0.8174198269844055,0.48656418919563293
8,0.8297038674354553,0.46388405561447144,0.8374635577201843,0.4544568359851837
9,0.8368412852287292,0.4454544484615326,0.8431729674339294,0.4405971169471741
10,0.8424601554870605,0.4265005886554718,0.8357628583908081,0.4663988947868347
11,0.8513287901878357,0.41082340478897095,0.8440233469009399,0.43760210275650024
12,0.8574032187461853,0.39636626839637756,0.8480320572853088,0.4324919581413269
13,0.8631739020347595,0.37903934717178345,0.839893102645874,0.4708877205848694
14,0.8675474524497986,0.3690343201160431,0.853255569934845,0.428356409072876
15,0.8717995285987854,0.3565472960472107,0.8454810380935669,0.4566093981266022
16,0.8752619624137878,0.34477847814559937,0.850218653678894,0.44683125615119934
17,0.8813667297363281,0.3311845064163208,0.8500971794128418,0.43587058782577515
