epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6843735575675964,0.7335340976715088,0.773202121257782,0.5725249648094177
1,0.8060440421104431,0.5217164158821106,0.8334547877311707,0.4605652391910553
2,0.8482611775398254,0.4275401830673218,0.8373420834541321,0.44989609718322754
3,0.8698861002922058,0.3671388030052185,0.8490039110183716,0.4394797086715698
4,0.8889901041984558,0.3180308938026428,0.8425655961036682,0.4522203803062439
5,0.9043583869934082,0.27099430561065674,0.8550777435302734,0.44098567962646484
6,0.9181169271469116,0.22671949863433838,0.8374635577201843,0.5327679514884949
