epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6171602010726929,0.8436374664306641,0.7048105001449585,0.7100366353988647
1,0.706119954586029,0.7012175917625427,0.7591108083724976,0.5997440814971924
2,0.7578132152557373,0.6086853742599487,0.7773323655128479,0.564041793346405
3,0.7907061576843262,0.5460218787193298,0.8134110569953918,0.4990125298500061
4,0.8100531697273254,0.5033318400382996,0.8018707633018494,0.504249095916748
5,0.8292179107666016,0.46356868743896484,0.8055150508880615,0.5294045805931091
6,0.8430675864219666,0.4320757985115051,0.8311467170715332,0.47360730171203613
7,0.8523310422897339,0.40895965695381165,0.8452380895614624,0.4334248900413513
8,0.8602277636528015,0.38877031207084656,0.8250728845596313,0.499868780374527
9,0.8679726719856262,0.36521318554878235,0.8499757051467896,0.44248443841934204
10,0.8766286969184875,0.34553131461143494,0.8526481986045837,0.42929935455322266
11,0.8857706785202026,0.32619404792785645,0.854834794998169,0.4560569226741791
12,0.8897190690040588,0.30807390809059143,0.8554421663284302,0.44637900590896606
13,0.8948215842247009,0.29270902276039124,0.851797878742218,0.4782213866710663
