epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6674867272377014,0.762599766254425,0.7523080706596375,0.6184719204902649
1,0.7802885174751282,0.5677772760391235,0.8084304928779602,0.5076268911361694
2,0.829248309135437,0.4664947986602783,0.8288387060165405,0.4857335090637207
3,0.8532118201255798,0.40987417101860046,0.83831387758255,0.46687325835227966
4,0.8714654445648193,0.3649873733520508,0.8480320572853088,0.44135791063308716
5,0.8847987651824951,0.3232756555080414,0.8392857313156128,0.47670745849609375
6,0.8992862701416016,0.2841823697090149,0.8339407444000244,0.5576350688934326
7,0.9097949862480164,0.2503576874732971,0.8405004739761353,0.45928630232810974
