epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5817463994026184,0.8918371796607971,0.6344752311706543,0.83256596326828
1,0.6245709657669067,0.8306223154067993,0.6614431738853455,0.7745323181152344
2,0.6488382816314697,0.7907925248146057,0.6435859799385071,0.8174889087677002
3,0.662202000617981,0.7683300971984863,0.6766278147697449,0.7428146004676819
4,0.6702201962471008,0.7524994015693665,0.6751700639724731,0.7485000491142273
5,0.6837357878684998,0.7289482355117798,0.6972789168357849,0.7189440131187439
6,0.6909035444259644,0.7173504829406738,0.6885325312614441,0.7314674258232117
7,0.7027183175086975,0.6977850794792175,0.702502429485321,0.7138986587524414
8,0.7064844369888306,0.6870901584625244,0.6852526664733887,0.7365236282348633
9,0.7152619361877441,0.6716324090957642,0.714893102645874,0.6854219436645508
10,0.7240394949913025,0.6535550355911255,0.7080903649330139,0.6982772350311279
11,0.7313895225524902,0.6398642063140869,0.7213314175605774,0.6725603342056274
12,0.7395292520523071,0.6243005394935608,0.7278911471366882,0.6849527359008789
13,0.7459985017776489,0.6102683544158936,0.7159863710403442,0.6995304822921753
14,0.7501594424247742,0.5999205112457275,0.7299562692642212,0.6758904457092285
