epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.5182687640190125,0.9725637435913086,0.54701167345047,0.9309657216072083
1,0.5795292258262634,0.8868680596351624,0.6068999171257019,0.8587012887001038
2,0.6206833720207214,0.8242671489715576,0.6258503198623657,0.8282554745674133
3,0.6517539620399475,0.7774046063423157,0.6475947499275208,0.7955326437950134
4,0.6749886274337769,0.7406109571456909,0.6502672433853149,0.7881397604942322
5,0.6977980136871338,0.7034325003623962,0.6752915382385254,0.7513123154640198
6,0.7110705971717834,0.6735385656356812,0.6803935766220093,0.7382588386535645
7,0.7269248366355896,0.6448536515235901,0.693148672580719,0.7325671911239624
8,0.7391951680183411,0.6133410930633545,0.6986151337623596,0.7384971976280212
9,0.7523462176322937,0.5920898914337158,0.6949708461761475,0.7449367046356201
10,0.7656491994857788,0.5674364566802979,0.6913265585899353,0.7422069311141968
