epoch,categorical_accuracy,loss,val_categorical_accuracy,val_loss
0,0.6164312958717346,0.8479623794555664,0.6824586987495422,0.7671257257461548
1,0.6589521765708923,0.7706731557846069,0.6652089357376099,0.7639049887657166
2,0.6885952949523926,0.7178117632865906,0.6881681084632874,0.7225700616836548
3,0.7100683450698853,0.6865960955619812,0.7331146597862244,0.6465750932693481
4,0.7247684001922607,0.6573492288589478,0.7190233469009399,0.6745390892028809
5,0.7375854253768921,0.6330603957176208,0.7428328394889832,0.6352500915527344
6,0.7556871771812439,0.6020755171775818,0.7317784428596497,0.6530531644821167
7,0.7630979418754578,0.5842182040214539,0.7331146597862244,0.6616378426551819
8,0.7740926146507263,0.559169352054596,0.7489067316055298,0.6286766529083252
9,0.7838724255561829,0.5390310883522034,0.7482993006706238,0.6285057067871094
10,0.7898253798484802,0.5190865397453308,0.7688289880752563,0.6007530093193054
11,0.8021867871284485,0.49581077694892883,0.7744169235229492,0.5830052495002747
12,0.8085041642189026,0.4782049059867859,0.7772108912467957,0.5900481939315796
13,0.8192558884620667,0.45897483825683594,0.758746325969696,0.6316254734992981
14,0.8247532248497009,0.4408594071865082,0.726190447807312,0.7567875981330872
